Date Published,Rating,Best Rating,Author,Review,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended,Aircraft
2025-09-10,4,10,N Jawan,"✅ Trip Verified |   Houston to Mumbai via Paris was on-time and some on-board crew really polite and helpful. My food was poor in quantity and very basic. India based flights only had vegetarian option and barely any choice. On board snacks were not available or got finished"" as mentioned by the ale crew. My return flight to India ( particularly AF0218 on 7th Sept was bad on-board service. The flight was not clean or sanitised before use.",Solo Leisure,Economy Class,Mumbai to Houston via Kolkata,September 2025,2.0,2.0,1.0,3.0,1.0,1.0,2,No,
2025-09-09,9,10,Andrew McDougall,"✅ Trip Verified |  The flight from LHR to CDG was flawless. We were delayed however the Captain did address the whole plane and was apologetic. The Purser and cabin crew were excellent, friendly and helpful. I am very tall 1.97m and the seat was comfortable. I enjoyed the A220. Food was more than enough for a short flight. CDG was easy to navigate, however security can be a surly and daunting. The flight from CDG to Lima was very good and the seat which converted into a full flat bed was comfortable, however the bedding was not so great (1 deflated pillow and a thin canvass blanket of sorts, nothing else) and the food was excellent along with the entertainment. I asked for tonic water and was told its finished, I prefer to drink this rather than other fizzy drinks. A small let down. The male cabin crew were very aloof and not really engaging ( not unpleasant but uninterested with yes and no answers). The men were only interested in people who spoke French. I speak 6 languages but sadly not French. The female cabin crew were friendly helpful and made me feel welcome. I really enjoyed my flight ( day time flight of 12 hrs) and would gladly fly them again",Solo Leisure,Business Class,London to Lima via Paris,September 2025,5.0,5.0,4.0,5.0,5.0,4.0,5,Yes,Airbus A220-300 / Boeing 777-200
2025-09-03,1,10,David Rivero Lopez,"✅ Trip Verified |  I have been a Flying Blue member for years and previously held Gold status (2018–2021). Earlier this year, when I started a new job that requires frequent travel between Madrid and Nigeria, I made the conscious decision to prioritize flying almost exclusively with Air France/KLM in order to rebuild my Flying Blue status. Since March, I invested six months of loyalty and earned over 50 XP. Then, on September 1st, all of that progress was suddenly wiped out because Flying Blue resets XP annually on that date. The problem is not just the reset itself, but the lack of clear communication. Nowhere during my booking process or XP tracking was it made sufficiently clear that my efforts between March and September would simply vanish. If I had known, I would have never chosen Air France/KLM so consistently over other carriers. To me, this feels deceptive and unfair. It is essentially punishing loyal customers who joined or restarted mid-year, turning months of effort and money into nothing. I reached out to customer service, but the response was a generic explanation of the rules with no acknowledgment of the unfairness or any offer of a resolution. I still have two long-haul trips already booked and paid with Air France/KLM, but after that, I will reconsider my loyalty. There are plenty of airlines that value frequent flyers without playing tricks like this. In short: Lack of transparency about XP reset dates. Months of loyalty and over 50 XP wasted. Customer service offered no real solution. Trust in the Flying Blue program is gone. I share this experience so other frequent travelers are aware: if you are trying to rebuild status with Flying Blue, know that all XP resets every September 1st. Plan accordingly, or you risk wasting your time and money as I did.",Solo Leisure,Economy Class,Madrid to Lagos via Paris,August 2025,,,,,,,1,No,Boeing 777
2025-09-02,10,10,Mikheil Tushishvili,"✅ Trip Verified |   I had a short flight Verona - Paris on Air France operated by Hop. The flight crew was very friendly, professional and engaging in nice short conversations with passangers. I appreciate that Air France has a full bar service and sandwiches on their short flights. The chicken sandwich was very tasty. The flight was on time and everything went smoothly. I believe that Air france/KLM have the best economy class product within Europe (I am not counting here Turkish airlines). Keep up great job Air France.",Solo Leisure,Economy Class,Verona to Paris,August 2025,4.0,5.0,5.0,,4.0,,5,Yes,E-170
2025-08-31,2,10,Anton Lapatsin,"✅ Trip Verified |   Usually ok airline, if everything goes as planned. If any issues, you'll go to all circles of hell, no help on place. An understandable situation, when one flight delayed, and another gets cancelled (last of the day) that should be normally and easily solved gets into a total havoc. No help at airport, no info provided, boarding passes disappearing from official app. EU regulation completely ignored, together with denial that flight was cancelled despite of evidence provided, as a result very late arrival with no compensation, and a lot of frustration that could be easily avoided.",Solo Leisure,Economy Class,Vienna to Paris CDG,July 2025,3.0,4.0,3.0,,4.0,,1,No,
2025-08-26,8,10,T Garsan,"✅ Trip Verified |  Ottawa to Paris CDG, Boeing 777-200. Meal serving seems very chaotic and disorganized. Meal served combination not good. FAs were smiling and pleasant for the most part",Business,Economy Class,Ottawa to Paris CDG,August 2025,4.0,3.0,2.0,,5.0,1.0,4,Yes,Boeing 777-200
2025-08-24,7,10,S Matapan,"Not Verified | 
Sitting on the emergency exit window is not a good idea to extend legs, a bump is in front of your legs you cannot fully extend. Food was basic and small portion. They are generous with ice cream and other snacks in between. They dont provide any extra amenities for economy class",Business,Economy Class,Paris ro Los Angeles,August 2025,2.0,4.0,4.0,,3.0,2.0,4,Yes,Boeing 777-300ER
2025-08-24,7,10,S Mapatan,✅ Trip Verified |   Upgraded screen monitor. No plug outlet to charge. Flight attendant can be snobbish to me. Seats were pretty comfortable for an economy class. Wifi is very limited.,Business,Economy Class,Paris to  Mumbai,August 2025,4.0,3.0,3.0,,3.0,2.0,3,Yes,A350-900
2025-08-21,10,10,Angel Nash,"Not Verified | I had such a great experience with Air France. My sister was having some issues with her travel documents when returning to France, and we were so worried about missing our flight from Phoenix to France. Thankfully, flight attendant Kaitlyn went above and beyond to help us. Because of her kindness and professionalism, we were able to make our flight. She was absolutely amazing, and we are so grateful for her assistance. Thank you Air France, for having such wonderful staff.",Family Leisure,Economy Class,Phoenix to Paris,August 2025,,,,,5.0,,5,Yes,
2025-08-21,1,10,P Cooper,"✅ Trip Verified |. Singapore to Paris was delayed due to “a passenger taking the wrong plane and we now need to get his suitcase off.” We then run to make the connecting flight Paris to Nice, andm told we would be delayed for 1.5 hours. Now on the way back, we are met with delays wit no context on when we will be leaving, and we have a connecting international flight. I’m looking at the board and I see a 4:30PM Paris flight that is set to leave at 7:45. Ours was due to board 15 minutes ago. I’ve never had such a shocking experience where every single step of the way is marred by lack of accountability, stories on stories and palpable arrogance at every turn.",Family Leisure,Economy Class,Singapore to Nice via Paris,August 2025,,,,,1.0,,1,No,
